experiment_id,page_size_P,alpha_max,seed,num_inserted_records,num_successful_searches,num_unsuccessful_searches,initial_buckets,final_primary_buckets,final_overflow_pages,final_total_pages,final_total_records,final_load_factor_global,real_space_utilization,overflow_page_percentage,num_splits,final_level,final_split_pointer,insert_total_page_accesses,insert_avg_page_accesses,successful_search_total_page_accesses,successful_search_avg_page_accesses,unsuccessful_search_total_page_accesses,unsuccessful_search_avg_page_accesses,insert_runtime_ms,successful_search_runtime_ms,unsuccessful_search_runtime_ms,total_runtime_ms
p10_a060,10,0.6,42,100000,5000,5000,4,15157,1510,16667,100000,0.599988,0.599988,9.059819,15153,11,6965,525026,5.25026,5251,1.0502,5722,1.1444,6525.071429,1.744085,1.982479,6608.025049
p10_a075,10,0.75,42,100000,5000,5000,4,7148,6190,13338,100000,0.749738,0.749738,46.408757,7144,10,3052,638718,6.38718,6892,1.3784,10049,2.0098,3659.951747,1.993323,2.805797,3724.383429
p10_a090,10,0.9,42,100000,5000,5000,4,2466,8648,11114,100000,0.899766,0.899766,77.811769,2462,9,418,1209822,12.09822,13796,2.7592,24188,4.8376,932.740835,1.85212,3.074246,1008.108143
p50_a060,50,0.6,42,100000,5000,5000,4,2861,474,3335,100000,0.5997,0.5997,14.212894,2857,9,813,463757,4.63757,5131,1.0262,6173,1.2346,1397.987606,1.670015,2.82456,1459.122019
p50_a075,50,0.75,42,100000,5000,5000,4,2108,776,2884,100000,0.693481,0.693481,26.907074,2104,9,60,566959,5.66959,5220,1.044,6896,1.3792,990.28213,1.549017,2.793917,1108.422501
p50_a090,50,0.9,42,100000,5000,5000,4,541,1703,2244,100000,0.891266,0.891266,75.891266,537,7,29,1181756,11.81756,12222,2.4444,21228,4.2456,529.389686,5.266918,10.078302,687.166545
p100_a060,100,0.6,42,100000,5000,5000,4,1466,243,1709,100000,0.585138,0.585138,14.218841,1462,8,442,460942,4.60942,5079,1.0158,6252,1.2504,861.590016,2.640663,5.230664,975.055755
p100_a075,100,0.75,42,100000,5000,5000,4,1115,367,1482,100000,0.674764,0.674764,24.763833,1111,8,91,549192,5.49192,5129,1.0258,6874,1.3748,673.042097,3.530005,5.893888,785.49567
p100_a090,100,0.9,42,100000,5000,5000,4,354,796,1150,100000,0.869565,0.869565,69.217391,350,6,98,983608,9.83608,10552,2.1104,17967,3.5934,482.789853,4.467991,8.106298,596.858313
