P,alpha_max,utilizacao_real,paginas_primarias,paginas_overflow,percentual_overflow,total_paginas
80,0.8,0.6483 ± 0.0152,946.00 ± 50.65,983.00 ± 7.52,50.99 ± 1.52,1929.00 ± 44.66
80,0.9,0.8916 ± 0.0063,315.20 ± 13.48,1086.80 ± 7.69,77.52 ± 0.83,1402.00 ± 9.97
80,0.95,0.9477 ± 0.0020,148.80 ± 7.12,1170.20 ± 4.55,88.72 ± 0.52,1319.00 ± 2.83
90,0.4,0.4000 ± 0.0000,2778.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2778.00 ± 0.00
90,0.5,0.4998 ± 0.0000,2223.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2223.00 ± 0.00
90,0.6,0.5828 ± 0.0028,1458.80 ± 11.30,447.80 ± 16.27,23.48 ± 0.77,1906.60 ± 9.29
90,0.75,0.6087 ± 0.0014,1107.60 ± 6.31,717.80 ± 4.02,39.32 ± 0.25,1825.40 ± 4.34
90,0.8,0.6157 ± 0.0020,1027.20 ± 9.28,777.40 ± 6.80,43.08 ± 0.41,1804.60 ± 5.86
90,0.9,0.8466 ± 0.0109,319.80 ± 21.72,992.80 ± 7.26,75.65 ± 1.38,1312.60 ± 16.65
90,0.95,0.9489 ± 0.0008,131.60 ± 3.91,1039.40 ± 4.04,88.76 ± 0.33,1171.00 ± 1.00
100,0.4,0.4000 ± 0.0000,2500.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,2500.00 ± 0.00
100,0.5,0.5000 ± 0.0000,1968.00 ± 5.29,32.00 ± 5.29,1.60 ± 0.26,2000.00 ± 0.00
100,0.6,0.5917 ± 0.0044,1463.80 ± 7.09,226.40 ± 15.39,13.39 ± 0.82,1690.20 ± 12.56
100,0.75,0.6781 ± 0.0043,1116.80 ± 3.90,358.00 ± 9.59,24.27 ± 0.51,1474.80 ± 9.47
100,0.8,0.7025 ± 0.0051,1037.20 ± 3.19,386.40 ± 8.59,27.14 ± 0.42,1423.60 ± 10.36
100,0.9,0.8773 ± 0.0090,345.80 ± 14.64,794.20 ± 8.32,69.67 ± 1.04,1140.00 ± 11.73
100,0.95,0.9470 ± 0.0018,128.20 ± 4.66,927.80 ± 4.32,87.86 ± 0.43,1056.00 ± 2.00
